"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","29/1360","129/10616",0.00156966285533294,0.0325459782660439,0.0276756345545544,"PSME2/PSMB8/PSMB9/H4C4/PSME1/H4C5/H4C13/GATA3/H3C11/H2AZ2/H2AC4/H4C8/PSMF1/H3-3B/H4C2/H4C3/H2BC21/PSMB10/H3C1/H3C2/PSMA5/PSMA3/H3C7/H2AC14/PSMA6/PSMD8/H2BC14/PSMA4/H2BC10",29
"R-HSA-211000","Gene Silencing by RNA","30/1360","135/10616",0.00159559743782513,0.0325747353845223,0.0277000883133367,"H4C4/H4C5/H4C13/H3C11/TDRKH/H2AZ2/H2AC4/AGO1/AAAS/H4C8/H3-3B/H4C2/H4C3/H2BC21/NUP210/NUP43/POLR2B/H3C1/H3C2/H3C7/SEH1L/H2AC14/NUP155/POLR2I/H2BC14/DICER1/NUP133/IPO8/NUP188/H2BC10",30
"R-HSA-3214858","RMTs methylate histone arginines","20/1360","79/10616",0.00184070279714344,0.0370092819971113,0.0314710270899165,"H4C4/H4C5/JAK2/H2AC12/H4C13/H3C11/H2AC21/H2AZ2/H2AC4/H4C8/H4C2/H4C3/H3C1/H3C2/CDK4/H3C7/H2AC14/H2AC11/SMARCC2/ARID2",20
"R-HSA-75876","Synthesis of very long-chain fatty acyl-CoAs","9/1360","24/10616",0.00194698739930252,0.0385619743115589,0.0327913667250951,"ELOVL6/HSD17B12/HACD2/ELOVL7/HACD3/HACD1/ACSL4/ACSL3/TECR",9
"R-HSA-194315","Signaling by Rho GTPases","79/1360","451/10616",0.00203293120540659,0.0396720545525669,0.0337353289813602,"PRKCA/H4C4/H4C5/H4C13/ARHGAP29/PAK3/H3C11/ARHGAP35/CENPI/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/NCF2/ARPC1A/H4C3/IQGAP3/ARAP2/PLK1/SPC24/SPC25/MYH10/ABR/AR/SKA2/ARHGEF39/H2BC21/CYFIP2/NUP43/H3C1/MYO9A/RACGAP1/CENPA/MYL12A/ARHGAP18/VAV3/H3C2/PPP2R5C/PRC1/KIF14/ARHGEF9/H3C7/SEH1L/H2AC14/CDH1/TUBB4A/CDC25C/CENPF/KNTC1/DSN1/DEPDC7/CYFIP1/KNL1/CKAP5/SCAI/PFN2/PIN1/RHOBTB1/ARHGAP42/NSL1/WASF3/FAM13A/RHOQ/CALM2/CENPS/H2BC14/IQGAP1/NUP133/SYDE2/ARHGAP11A/IQGAP2/DAAM1/PPP1CB/CENPE/AKAP13/H2BC10/ARHGAP19/RHPN2",79
"R-HSA-983231","Factors involved in megakaryocyte development and platelet production","35/1360","168/10616",0.00224501679498533,0.0427891820173679,0.0363859938306576,"IRF1/IFNB1/IRF2/JAK2/PRKAR2A/GATA3/H3C11/KIF1C/KIF3C/EHD2/RCOR1/H3-3B/DOCK5/CABLES2/GATA6/H3C1/RACGAP1/SH2B3/H3C2/PRKAR2B/H3C7/TUBB4A/DOCK1/IFNA13/DOCK7/KIF20A/KIF4A/KIF15/DOCK9/DOCK11/TP53/DOCK10/DOCK3/CENPE/EHD1",35
"R-HSA-5334118","DNA methylation","17/1360","64/10616",0.00227228292285885,0.0427891820173679,0.0363859938306576,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/H3C7/H2AC14/H2BC14/H2BC10",17
"R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","21/1360","86/10616",0.00232164363620987,0.0427891820173679,0.0363859938306576,"PSME2/PSMB8/PSMB9/PSME1/PSMF1/PLK1/ANAPC16/PSMB10/NEK2/PSMA5/PSMA3/CDC14A/PSMA6/PSMD8/CCNA2/BTRC/ANAPC5/ANAPC7/CCNB1/PSMA4/PTTG1",21
"R-HSA-453276","Regulation of mitotic cell cycle","21/1360","86/10616",0.00232164363620987,0.0427891820173679,0.0363859938306576,"PSME2/PSMB8/PSMB9/PSME1/PSMF1/PLK1/ANAPC16/PSMB10/NEK2/PSMA5/PSMA3/CDC14A/PSMA6/PSMD8/CCNA2/BTRC/ANAPC5/ANAPC7/CCNB1/PSMA4/PTTG1",21
"R-HSA-5633008","TP53 Regulates Transcription of Cell Death Genes","13/1360","44/10616",0.00263923052667991,0.0479761494370444,0.0407967573842951,"PMAIP1/FAS/CASP10/PERP/IGFBP3/TP53I3/CASP1/CHM/TNFRSF10B/STEAP3/TNFRSF10D/TP53/APAF1",13
"R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","19/1360","76/10616",0.00276192282665055,0.0495279944725037,0.0421163765315702,"PSME2/PSMB8/PSMB9/PSME1/PSMF1/PLK1/ANAPC16/PSMB10/NEK2/PSMA5/PSMA3/PSMA6/PSMD8/CCNA2/ANAPC5/ANAPC7/CCNB1/PSMA4/PTTG1",19
